code,C,7	libelle,C,128
A11CC02	DIHYDROTACHYSTEROL
A11CC03	ALFACALCIDOL
A11CC04	CALCITRIOL
A11CC05	COLECALCIFEROL
A11CC06	CALCIFEDIOL
A11CC20	ASSOCIATIONS
A11D	VITAMINE B1 NON ASSOCIEE ET EN ASSOCIATION AVEC VITAMINES B6 ET B12
A11DA	VITAMINE B1, NON ASSOCIEE
A11DA01	THIAMINE (VIT B1)
A11DA02	SULBUTIAMINE
A11DA03	BENFOTIAMINE
A11DB	VITAMINE B1 EN ASSOCIATION A LA VITAMINE B6 ET/OU A LA VITAMINE B12
A11E	COMPLEXE VITAMINIQUE B, ASSOCIATIONS INCLUSES
A11EA	COMPLEXE VITAMINIQUE B NON ASSOCIE
A11EB	COMPLEXE VITAMINIQUE B AVEC VITAMINE C
A11EC	COMPLEXE VITAMINIQUE B AVEC MINERAUX
A11ED	COMPLEXE VITAMINIQUE B AVEC STEROIDES ANABOLISANTS
A11EX	COMPLEXE VITAMINIQUE B, AUTRES ASSOCIATIONS
A11G	ACIDE ASCORBIQUE (VIT C), ASSOCIATIONS INCLUSES
A11GA	ACIDE ASCORBIQUE (VIT C), NON ASSOCIEE
A11GA01	ASCORBIQUE ACIDE (VIT C)
A11GB	ACIDE ASCORBIQUE (VIT C), ASSOCIATIONS
A11GB01	ASCORBIQUE ACIDE (VIT C) ET CALCIUM
A11H	AUTRES PREPARATIONS VITAMINIQUES NON ASSOCIEES
A11HA	AUTRES PREPARATIONS VITAMINIQUES NON ASSOCIEES
A11HA01	NICOTINAMIDE
A11HA02	PYRIDOXINE (VIT B6)
A11HA03	TOCOPHEROL (VIT E)
A11HA04	RIBOFLAVINE (VIT B2)
A11HA05	BIOTINE
A11HA06	PYRIDOXAL PHOSPHATE
A11HA07	INOSITOL
A11HA08	TOCOFERSOLAN
A11HA30	DEXPANTHENOL
A11HA31	CALCIUM PANTOTHENATE
A11HA32	PANTETHINE
A11J	AUTRES MEDICAMENTS VITAMINIQUES, ASSOCIATIONS
A11JA	ASSOCIATIONS DE VITAMINES
A11JB	VITAMINES AVEC MINERAUX
A11JC	VITAMINES, AUTRES ASSOCIATIONS
A12	SUPPLEMENTS MINERAUX
A12A	CALCIUM
A12AA	CALCIUM
A12AA01	CALCIUM PHOSPHATE
A12AA02	CALCIUM GLUBIONATE
A12AA03	CALCIUM GLUCONATE
A12AA04	CALCIUM CARBONATE
A12AA05	CALCIUM LACTATE
A12AA06	CALCIUM GLUCONOLACTATE
A12AA07	CALCIUM CHLORURE
A12AA08	CALCIUM GLYCEROPHOSPHATE
A12AA09	CALCIUM CITRATE LYSINE COMPLEXE
A12AA10	CALCIUM GLUCOHEPTONATE
A12AA11	CALCIUM PANGAMATE
A12AA12	CALCIUM ACETATE ANHYDRE
A12AA13	CALCIUM CITRATE
A12AA20	CALCIUM (DIFFERENTS SELS EN ASSOCIATION)
A12AA30	CALCIUM LEVULINATE
A12AX	CALCIUM EN ASSOCIATION AVEC DE LA VITAMINE D ET/OU D'AUTRES SUBSTANCES
A12B	POTASSIUM
A12BA	DERIVES POTASSIQUES
A12BA01	POTASSIUM CHLORURE
A12BA02	POTASSIUM CITRATE
A12BA03	POTASSIUM BITARTRATE
A12BA04	POTASSIUM BICARBONATE
A12BA05	POTASSIUM GLUCONATE
A12BA30	ASSOCIATIONS
A12BA51	POTASSIUM CHLORURE EN ASSOCIATION
A12C	AUTRES SUPPLEMENTS MINERAUX
A12CA	SODIUM
A12CA01	SODIUM CHLORURE
A12CA02	SODIUM SULFATE
A12CB	ZINC
A12CB01	ZINC SULFATE
A12CB02	ZINC GLUCONATE
A12CB03	ZINC PROTEINE COMPLEXE
A12CC	MAGNESIUM
A12CC01	MAGNESIUM CHLORURE
A12CC02	MAGNESIUM SULFATE
A12CC03	MAGNESIUM GLUCONATE
A12CC04	MAGNESIUM CITRATE
A12CC05	MAGNESIUM ASPARTATE
A12CC06	MAGNESIUM LACTATE
A12CC07	MAGNESIUM LEVULINATE
A12CC08	MAGNESIUM PIDOLATE
A12CC09	MAGNESIUM OROTATE
A12CC10	MAGNESIUM OXYDE
A12CC30	MAGNESIUM (DIFFERENTS SELS EN ASSOCIATION)
A12CD	FLUORURE
A12CD01	SODIUM FLUORURE
A12CD02	SODIUM MONOFLUOROPHOSPHATE
A12CD51	FLUORURES EN ASSOCIATION
A12CE	SELENIUM
A12CE01	SODIUM SELENATE
A12CE02	SODIUM SELENITE
A12CX	AUTRES ELEMENTS MINERAUX
A13	TONIQUES
A13A	TONIQUES
A14	ANABOLISANTS A USAGE SYSTEMIQUE
A14A	STEROIDES ANABOLISANTS
A14AA	DERIVES DE L'ANDROSTANE
A14AA01	ANDROSTANOLONE
A14AA02	STANOZOLOL
A14AA03	METANDIENONE
A14AA04	METENOLONE
A14AA05	OXYMETHOLONE
A14AA06	QUINBOLONE
A14AA07	PRASTERONE
A14AA08	OXANDROLONE
A14AA09	NORETHANDROLONE
A14AB	DERIVES DE L'OESTRONE
A14AB01	NANDROLONE
A14AB02	ETHYLESTRENOL
A14AB03	OXABOLONE CIPIONATE
A14B	AUTRES ANABOLISANTS
A15	STIMULANTS DE L'APPETIT
A16	AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME
A16A	AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME
A16AA	ACIDES AMINES ET DERIVES
A16AA01	LEVOCARNITINE
A16AA02	ADEMETHIONINE
A16AA03	LEVOGLUTAMIDE
A16AA04	MERCAPTAMINE
A16AA05	CARGLUMIQUE ACIDE
A16AA06	BETAINE
A16AB	ENZYMES
A16AB01	ALGLUCERASE
A16AB02	IMIGLUCERASE
A16AB03	AGALSIDASE ALFA
A16AB04	AGALSIDASE BETA
A16AB05	LARONIDASE
A16AB06	SACROSIDASE
A16AB07	ALGLUCOSIDASE ALFA
A16AB08	GALSULFASE
A16AB09	IDURSULFASE
A16AB10	VELAGLUCERASE ALFA
A16AB11	TALIGLUCERASE ALFA
A16AB12	ELOSULFASE ALFA
A16AX	DIVERS MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME
A16AX01	TIOCTIQUE ACIDE
A16AX02	ANETHOLE TRITHIONE
A16AX03	PHENYLBUTYRATE SODIQUE
A16AX04	NITISINONE
A16AX05	ZINC ACETATE
A16AX06	MIGLUSTAT
A16AX07	SAPROPTERINE
A16AX08	TEDUGLUTIDE
A16AX09	GLYCEROL PHENYLBUTYRATE
A16AX10	ELIGLUSTAT
B	SANG ET ORGANES HEMATOPOIETIQUES
B01	ANTITHROMBOTIQUES
B01A	ANTITHROMBOTIQUES
B01AA	ANTIVITAMINES K
B01AA01	DICOUMAROL
B01AA02	PHENINDIONE
B01AA03	WARFARINE
B01AA04	PHENPROCOUMONE
B01AA07	ACENOCOUMAROL
B01AA08	ETHYLE BISCOUMACETATE
B01AA09	CLORINDIONE
B01AA10	DIPHENADIONE
B01AA11	TIOCLOMAROL
B01AA12	FLUINDIONE
B01AB	GROUPE DE L'HEPARINE
B01AB01	HEPARINE
B01AB02	ANTITHROMBINE III
B01AB04	DALTEPARINE
B01AB05	ENOXAPARINE
B01AB06	NADROPARINE
B01AB07	PARNAPARINE
B01AB08	REVIPARINE
B01AB09	DANAPAROÏDE
B01AB10	TINZAPARINE
B01AB11	SULODEXIDE
B01AB12	BEMIPARINE
B01AB51	HEPARINE EN ASSOCIATION
B01AC	INHIBITEURS DE L'AGREGATION PLAQUETTAIRE, HEPARINE EXCLUE
B01AC01	DITAZOLE
B01AC02	CLORICROMEN
B01AC03	PICOTAMIDE
B01AC04	CLOPIDOGREL
B01AC05	TICLOPIDINE
B01AC06	ACETYLSALICYLIQUE ACIDE
B01AC07	DIPYRIDAMOLE
B01AC08	CARBASALATE CALCIQUE
B01AC09	EPOPROSTENOL
B01AC10	INDOBUFENE
B01AC11	ILOPROST
B01AC13	ABCIXIMAB
B01AC15	ALOXIPRINE
B01AC16	EPTIFIBATIDE
B01AC17	TIROFIBAN
B01AC18	TRIFLUSAL
B01AC19	BERAPROST
B01AC21	TREPROSTINIL
B01AC22	PRASUGREL
B01AC23	CLIOSTAZOL
B01AC24	TICAGRELOR
B01AC25	CANGRELOR
B01AC30	ASSOCIATIONS
B01AC56	ACIDE ACETYLSALICYLIQUE EN ASSOCIATION AVEC DES INHIBITEURS DE LA POPE A PROTONS
B01AD	ENZYMES
B01AD01	STREPTOKINASE
B01AD02	ALTEPLASE
B01AD03	ANISTREPLASE
B01AD04	UROKINASE
B01AD05	FIBRINOLYSINE
B01AD06	BRINASE
B01AD07	RETEPLASE
B01AD08	SARUPLASE
B01AD09	ANCROD
B01AD10	DROTRECOGINE ALFA (activée)
B01AD11	TENECTEPLASE
B01AD12	PROTEINE C
B01AE	INHIBITEURS DIRECTS DE LA THROMBINE
B01AE01	DESIRUDINE
B01AE02	LEPIRUDINE
B01AE03	ARGATROBAN
B01AE04	MELAGATRAN
B01AE05	XIMELAGATRAN
B01AE06	BIVALIRUDINE
B01AE07	DABIGATRAN ETEXILATE
B01AF	INHIBITEURS DIRECTS DU FACTEUR Xa
B01AF01	RIVAROXABAN
B01AF02	APIXABAN
B01AX	AUTRES ANTITHROMBOTIQUES
B01AX01	DEFIBROTIDE
B01AX04	DERMATAN SULFATE
B01AX05	FONDAPARINUX
B02	ANTIHEMORRAGIQUES
B02A	ANTIFIBRINOLYTIQUES
B02AA	ACIDES AMINES
B02AA01	AMINOCAPROÏQUE ACIDE
B02AA02	TRANEXAMIQUE ACIDE
B02AA03	AMINOMETHYLBENZOÏQUE ACIDE
B02AB	INHIBITEURS DE PROTEINASES
B02AB01	APROTININE
B02AB02	ALPHA 1 ANTITRYPSINE
B02AB04	CAMOSTAT
B02B	VITAMINE K ET AUTRES HEMOSTATIQUES
B02BA	VITAMINE K
B02BA01	PHYTOMENADIONE
B02BA02	MENADIONE
B02BB	FIBRINOGENE
B02BB01	FIBRINOGENE HUMAIN
B02BC	HEMOSTATIQUES LOCAUX
B02BC01	EPONGE DE GELATINE ABSORBABLE
B02BC02	CELLULOSE OXYDEE
B02BC03	TETRAGALACTURONIQUE ACIDE HYDROXYMETHYLESTER
B02BC05	ADRENALONE
B02BC06	THROMBINE
B02BC07	COLLAGENE
B02BC08	CALCIUM ALGINATE
B02BC09	EPINEPHRINE
B02BC10	BANDES ADHESIVES
B02BC30	ASSOCIATIONS
B02BD	FACTEURS DE LA COAGULATION SANGUINE
B02BD01	FACTEURS DE COAGULATION IX, II, VII ET X EN ASSOCIATION
B02BD02	FACTEUR VIII DE COAGULATION
B02BD03	COMPLEXE PROTHROMBIQUE ACTIVE
B02BD04	FACTEUR IX DE COAGULATION
B02BD05	FACTEUR VII DE COAGULATION
B02BD06	FACTEUR VON WILLEBRAND ET FACTEUR VIII DE COAGULATION EN ASSOCIATION
B02BD07	FACTEUR XIII DE COAGULATION
B02BD08	EPTACOG ALFA (ACTIVE)
B02BD09	NONACOG ALFA
B02BD10	FACTEUR VON WILLEBRAND
B02BD11	CATRIDECACOG
B02BD12	TRENONACOG ALFA
B02BD13	FACTEUR DE COAGULATION X
B02BD30	THROMBINE
B02BX	AUTRES HEMOSTATIQUES SYSTEMIQUES
B02BX01	ETAMSYLATE
B02BX02	CARBAZOCHROME
B02BX03	BATROXOBINE
B02BX04	ROMIPLOSTIM
B02BX05	ELTROMBOPAG
B03	PREPARATIONS ANTIANEMIQUES
B03A	PREPARATIONS MARTIALES
B03AA	FER BIVALENT, PREPARATIONS ORALES
B03AA01	SULFATE FERREUX - GLYCINE
B03AA02	FUMARATE FERREUX
B03AA03	GLUCONATE FERREUX
B03AA04	CARBONATE FERREUX
B03AA05	CHLORURE FERREUX
B03AA06	SUCCINATE FERREUX
B03AA07	SULFATE FERREUX
B03AA08	TARTRATE FERREUX
B03AA09	ASPARTATE FERREUX
B03AA10	ASCORBATE FERREUX
B03AA11	IODURE FERREUX
B03AB	FER TRIVALENT, PREPARATIONS ORALES
B03AB01	CITRATE DE FER SODIQUE
B03AB02	OXYDE DE FER SUCRE
B03AB03	EDETATE DE FER SODIQUE
B03AB04	HYDROXYDE FERRIQUE
B03AB05	COMPLEXES OXYDE FERRIQUE - POLYMALTOSE
B03AB06	CITRATE FERRIQUE
B03AB07	COMPLEXE FER - CHONDROITINE SULFATE
B03AB08	ACETYL TRANSFERRINE FERRIQUE
B03AB09	PROTEINOSUCCINYLATE FERRIQUE
B03AC	FER, PREPARATIONS PARENTERALES
B03AD	FER EN ASSOCIATION AVEC L'ACIDE FOLIQUE
B03AD01	COMPLEXE D'ACIDES AMINES FERREUX
B03AD02	FUMARATE FERREUX
B03AD03	SULFATE FERREUX
B03AD04	COMPLEXES OXYDE FERRIQUE - POLYMALTOSE
B03AE	FER DANS D'AUTRES ASSOCIATIONS
B03AE01	FER, VITAMINE B12 ET ACIDE FOLIQUE
B03AE02	FER, POLYVITAMINES ET ACIDE FOLIQUE
B03AE03	FER ET POLYVITAMINES
B03AE04	FER, POLYVITAMINES ET MINERAUX
B03AE10	ASSOCIATIONS DIVERSES
B03B	VITAMINE B12 ET ACIDE FOLIQUE
B03BA	VITAMINE B12 (CYANOCOBALAMINE ET DERIVES)
B03BA01	CYANOCOBALAMINE
B03BA02	COMPLEXE CYANOCOBALAMINE - TANIN
B03BA03	HYDROXOCOBALAMINE
B03BA04	COBAMAMIDE
B03BA05	MECOBALAMINE
B03BA51	CYANOCOBALAMINE EN ASSOCIATION
B03BA53	HYDROXOCOBALAMINE EN ASSOCIATION
B03BB	ACIDE FOLIQUE ET DERIVES
B03BB01	FOLIQUE ACIDE
B03BB51	FOLIQUE ACIDE EN ASSOCIATION
B03X	AUTRES PREPARATIONS ANTIANEMIQUES
B03XA	AUTRES PREPARATIONS ANTIANEMIQUES
B03XA01	ERYTHROPOÏETINE
B03XA02	DARBEPOETINE ALFA
B03XA03	METHOXY POLYETHYLENE GLYCOL EPOETINE BETA
B03XA04	PEGINESATIDE
B05	SUBSTITUTS DU SANG ET SOLUTIONS DE PERFUSION
B05A	SANG ET DERIVES
B05AA	SUBSTITUTS DU SANG ET FRACTIONS PROTEIQUES PLASMATIQUES
B05AA01	ALBUMINE
B05AA02	AUTRES FRACTIONS PROTEIQUES PLASMATIQUES
B05AA03	SUBSTITUTS DU SANG FLUOROCARBONES
B05AA05	DEXTRAN
B05AA06	GELATINES
B05AA07	HYDROXYETHYLAMIDON
B05AA08	HEMOGLOBINE CROSFUMARIL
B05AA09	HEMOGLOBINE RAFFIMER
B05AA10	HEMOGLOBINE GLUTAMER (BOVINE)
B05AX	AUTRES PRODUITS SANGUINS
B05AX01	ERYTHROCYTES
B05AX02	THROMBOCYTES
B05AX03	PLASMA SANGUIN
B05AX04	CELLULES SOUCHES DU SANG DU CORDON OMBILICAL
B05B	SOLUTIONS INTRAVEINEUSES
B05BA	SOLUTIONS POUR NUTRITION PARENTERALE
B05BA01	ACIDES AMINES
B05BA02	EMULSIONS LIPIDIQUES
B05BA03	HYDRATES DE CARBONE
B05BA04	HYDROLYSATS DE PROTEINES
B05BA10	ASSOCIATIONS
B05BB	SOLUTIONS MODIFIANT LE BILAN ELECTROLYTIQUE
B05BB01	ELECTROLYTES
B05BB02	ELECTROLYTES AVEC HYDRATES DE CARBONE
B05BB03	TROMETAMOL
B05BB04	ELECTROLYTES EN ASSOCIATION AVEC D'AUTRES PRODUITS
B05BC	SOLUTIONS PRODUISANT UNE DIURESE OSMOTIQUE
B05BC01	MANNITOL
B05BC02	UREE
B05C	SOLUTIONS D'IRRIGATION
B05CA	ANTIINFECTIEUX
B05CA01	CETYLPYRIDINIUM
B05CA02	CHLORHEXIDINE
B05CA03	NITROFURAZONE
B05CA04	SULFAMETHIZOL
B05CA05	TAUROLIDINE
B05CA06	MANDELIQUE ACIDE
B05CA07	NOXYTIOLINE
B05CA08	ETHACRIDINE LACTATE
B05CA09	NEOMYCINE
B05CA10	ASSOCIATIONS
B05CB	SOLUTIONS SALINES
B05CB01	SODIUM CHLORURE
B05CB02	SODIUM CITRATE
B05CB03	MAGNESIUM CITRATE
B05CB04	SODIUM BICARBONATE
B05CB10	ASSOCIATIONS
B05CX	AUTRES SOLUTIONS D'IRRIGATION
B05CX01	GLUCOSE
B05CX02	SORBITOL
B05CX03	GLYCINE
B05CX04	MANNITOL
B05CX10	ASSOCIATIONS
B05D	SOLUTIONS POUR DIALYSE PERITONEALE
B05DA	SOLUTIONS ISOTONIQUES
B05DB	SOLUTIONS HYPERTONIQUES
B05X	ADDITIFS POUR SOLUTIONS INTRAVEINEUSES
B05XA	SOLUTIONS D'ELECTROLYTES
B05XA01	POTASSIUM CHLORURE
B05XA02	SODIUM BICARBONATE
B05XA03	SODIUM CHLORURE
B05XA04	AMMONIUM CHLORURE
B05XA05	MAGNESIUM SULFATE
B05XA06	POTASSIUM PHOSPHATE, ASSOCIATIONS AVEC D'AUTRES SELS DE POTASSIUM INCLUSES
B05XA07	CALCIUM CHLORURE
B05XA08	SODIUM ACETATE
B05XA09	SODIUM PHOSPHATE
B05XA10	MAGNESIUM PHOSPHATE
B05XA11	MAGNESIUM CHLORURE
B05XA12	ZINC CHLORURE
B05XA13	CHLORHYDRIQUE ACIDE
B05XA14	SODIUM GLYCEROPHOSPHATE
B05XA15	POTASSIUM LACTATE
B05XA16	SOLUTIONS CARDIOPLEGIQUES
B05XA17	POTASSIUM ACETATE
B05XA30	ASSOCIATIONS D'ELECTROLYTES
B05XA31	ELECTROLYTES EN ASSOCIATION AVEC D'AUTRES SUBSTANCES
B05XB	ACIDES AMINES
B05XB01	ARGININE CHLORHYDRATE
B05XB02	ALANYL GLUTAMINE
B05XB03	LYSINE
B05XC	VITAMINES
B05XX	AUTRES ADDITIFS POUR SOLUTIONS INTRAVEINEUSES
B05XX02	TROMETAMOL
B05Z	SOLUTIONS POUR HEMODIALYSE ET HEMOFILTRATION
B05ZA	CONCENTRES POUR HEMODIALYSE
B05ZB	SOLUTIONS POUR HEMOFILTRATION
B06	AUTRES MEDICAMENTS UTILISES EN HEMATOLOGIE
B06A	AUTRES MEDICAMENTS UTILISES EN HEMATOLOGIE
B06AA	ENZYMES
B06AA02	FIBRINOLYSINE ET DESOXYRIBONUCLEASE
B06AA03	HYALURONIDASE
B06AA04	CHYMOTRYPSINE
B06AA07	TRYPSINE
B06AA10	DESOXYRIBONUCLEASE
B06AA55	STREPTOKINASE EN ASSOCIATION
B06AB	AUTRES MEDICAMENTS DERIVES DE L'HEME
B06AB01	HEMATINE
B06AC	MEDICAMENTS INDIQUES DANS L'ANGIO-OEDEME HEREDITAIRE
B06AC01	INHIBITEUR C1, DERIVE PLASMATIQUE
B06AC02	ICATIBANT
B06AC03	ECALLANTIDE
B06AC04	CONESTAT ALFA
C	SYSTEME CARDIOVASCULAIRE
C01	MEDICAMENTS EN CARDIOLOGIE
C01A	GLUCOSIDES CARDIOTONIQUES
C01AA	GLUCOSIDES DE LA DIGITALE
C01AA01	ACETYLDIGITOXINE
C01AA02	ACETYLDIGOXINE
C01AA03	FEUILLES DE DIGITALE
C01AA04	DIGITOXINE
C01AA05	DIGOXINE
C01AA06	LANATOSIDE C
C01AA07	DESLANOSIDE
C01AA08	METILDIGOXINE
C01AA09	GITOFORMATE
C01AA52	ACETYLDIGOXINE EN ASSOCIATION
C01AB	GLUCOSIDES DE LA SCILLE
C01AB01	PROSCILLARIDINE
C01AB51	PROSCILLARIDINE EN ASSOCIATION
C01AC	GLUCOSIDES DU STROPHANTUS
C01AC01	OUABAÏNE
C01AC03	CYMARINE
C01AX	AUTRES GLUCOSIDES CARDIOTONIQUES
C01AX02	PERUVOSIDE
C01B	ANTIARYTHMIQUES, CLASSE I ET III
C01BA	ANTIARYTHMIQUES, CLASSE IA
C01BA01	QUINIDINE
C01BA02	PROCAÏNAMIDE
C01BA03	DISOPYRAMIDE
C01BA04	SPARTEINE
C01BA05	AJMALINE
C01BA08	PRAJMALINE
C01BA12	LORAJMINE
C01BA51	QUINIDINE EN ASSOCIATION SAUF AUX PSYCHOLEPTIQUES
C01BA71	QUINIDINE EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES
C01BB	ANTIARYTHMIQUES, CLASSE IB
C01BB01	LIDOCAÏNE
C01BB02	MEXILETINE
C01BB03	TOCAÏNIDE
C01BB04	APRINDINE
C01BC	ANTIARYTHMIQUES, CLASSE IC
C01BC03	PROPAFENONE
C01BC04	FLECAÏNIDE
C01BC07	LORCAÏNIDE
C01BC08	ENCAÏNIDE
C01BC09	ETHACIZINE
C01BD	ANTIARYTHMIQUES, CLASSE III
C01BD01	AMIODARONE
C01BD02	BRETYLIUM TOSILATE
C01BD03	BUNAFTINE
C01BD04	DOFETILIDE
C01BD05	IBUTILIDE
C01BD06	TEDISAMIL
C01BD07	DRONEDARONE
C01BG	AUTRES ANTIARYTHMIQUES DE CLASSE I ET III
C01BG01	MORACIZINE
C01BG07	CIBENZOLINE
C01BG11	VERNAKALANT
C01C	STIMULANTS CARDIAQUES, GLUCOSIDES CARDIOTONIQUES EXCLUS
C01CA	ADRENERGIQUES ET DOPAMINERGIQUES
C01CA01	ETILEFRINE
C01CA02	ISOPRENALINE
C01CA03	NOREPINEPHRINE
C01CA04	DOPAMINE
C01CA05	NORFENEFRINE
C01CA06	PHENYLEPHRINE
C01CA07	DOBUTAMINE
C01CA08	OXEDRINE
C01CA09	METARAMINOL
C01CA10	METHOXAMINE
C01CA11	MEPHENTERMINE
C01CA12	DIMETOFRINE
C01CA13	PRENALTEROL
C01CA14	DOPEXAMINE
C01CA15	GEPEFRINE
C01CA16	IBOPAMINE
C01CA17	MIDODRINE
C01CA18	OCTOPAMINE
C01CA19	FENOLDOPAM
C01CA21	CAFEDRINE
C01CA22	ARBUTAMINE
C01CA23	THEODRENALINE
C01CA24	EPINEPHRINE
C01CA25	AMEZINIUM METHYLSULFATE
C01CA26	EPHEDRINE, PREPARATIONS PARENTERALES
C01CA30	ASSOCIATIONS
C01CA51	ETILEFRINE EN ASSOCIATION
C01CE	INHIBITEURS DE LA PHOSPHODIESTERASE
C01CE01	AMRINONE
C01CE02	MILRINONE
C01CE03	ENOXIMONE
C01CE04	BUCLADESINE
C01CX	AUTRES STIMULANTS CARDIAQUES
C01CX06	ANGIOTENSINAMIDE
C01CX07	XAMOTEROL
C01CX08	LEVOSIMENDAN
C01D	VASODILATATEURS EN CARDIOLOGIE
C01DA	DERIVES NITRES
C01DA02	NITROGLYCERINE
C01DA04	METHYLPROPYLPROPANEDIOL DINITRATE
C01DA05	PENTAERITHRITYL TETRANITRATE
C01DA07	PROPATYLNITRATE
C01DA08	ISOSORBIDE DINITRATE
C01DA09	TROLNITRATE
C01DA13	ERITHRITYL TETRANITRATE
C01DA14	ISOSORBIDE MONONITRATE
C01DA20	DERIVES NITRES EN ASSOCIATION
C01DA38	TENITRAMINE
C01DA52	NITROGLYCERINE EN ASSOCIATION
C01DA54	METHYLPROPYLPROPANEDIOL DINITRATE EN ASSOCIATION
C01DA55	PENTAERITHRITYL TETRANITRATE EN ASSOCIATION
C01DA57	PROPATYLNITRATE EN ASSOCIATION
C01DA58	ISOSORBIDE DINITRATE EN ASSOCIATION
C01DA59	TROLNITRATE EN ASSOCIATION
C01DA63	ERITHRITYL TETRANITRATE EN ASSOCIATION
C01DA70	DERIVES NITRES EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES
C01DB	VASODILATATEURS QUINOLINIQUES
C01DB01	FLOSEQUINAN
C01DX	AUTRES VASODILATATEURS EN CARDIOLOGIE
C01DX01	ITRAMINE TOSILATE
C01DX02	PRENYLAMINE
C01DX03	OXYFEDRINE
C01DX04	BENZIODARONE
C01DX05	CARBOCROMENE
C01DX06	HEXOBENDINE
C01DX07	ETAFENONE
C01DX08	HEPTAMINOL
C01DX09	IMOLAMINE
C01DX10	DILAZEP
C01DX11	TRAPIDIL
C01DX12	MOLSIDOMINE
C01DX13	EFLOXATE
C01DX14	CINEPAZET
C01DX15	CLORIDAROL
C01DX16	NICORANDIL
C01DX18	LINSIDOMINE
C01DX19	NESIRITIDE
C01DX21	SERELAXINE
C01DX51	ITRAMINE TOSILATE EN ASSOCIATION
C01DX52	PRENYLAMINE EN ASSOCIATION
C01DX53	OXYFEDRINE EN ASSOCIATION
C01DX54	BENZIODARONE EN ASSOCIATION
C01E	AUTRES MEDICAMENTS EN CARDIOLOGIE
C01EA	PROSTAGLANDINES
C01EA01	ALPROSTADIL
C01EB	AUTRES MEDICAMENTS EN CARDIOLOGIE
C01EB02	CAMPHRE
C01EB03	INDOMETACINE
C01EB04	GLUCOSIDES DE CRATAEGUS
C01EB05	CREATINOLFOSFATE
C01EB06	FOSFOCREATINE
C01EB07	FRUCTOSE 1-6 DIPHOSPHATE
C01EB09	UBIDECARENONE
C01EB10	ADENOSINE
C01EB11	TIRACIZINE
C01EB13	ACADESINE
C01EB15	TRIMETAZIDINE
C01EB16	IBUPROFENE
C01EB17	IVABRADINE
C01EB18	RANOLAZINE
C01EB21	REGADENOSON
C01EB22	MELDONIUM
C01EX	AUTRES MEDICAMENTS EN ASSOCIATION EN CARDIOLOGIE
C02	ANTIHYPERTENSEURS
C02A	ADRENOLYTIQUES A ACTION CENTRALE
C02AA	ALCALOÏDES DU RAUWOLFIA
C02AA01	RESCINNAMINE
C02AA02	RESERPINE
C02AA03	ASSOCIATIONS D'ALCALOÏDES DU RAUWOLFIA
C02AA04	ALCALOÏDES DU RAUWOLFIA, RACINE ENTIERE
C02AA05	DESERPIDINE
C02AA06	METHOSERPIDINE
C02AA07	BIETASERPINE
C02AA52	RESERPINE EN ASSOCIATION
C02AA53	ASSOCIATIONS D'ALCALOÏDES DU RAUWOLFIA EN ASSOCIATION
C02AA57	BIETASERPINE EN ASSOCIATION
C02AB	METHYLDOPA
C02AB01	METHYLDOPA (LEVOGYRE)
C02AB02	METHYLDOPA (RACEMIQUE)
C02AC	AGONISTES DES RECEPTEURS A L'IMIDAZOLINE
C02AC01	CLONIDINE
C02AC02	GUANFACINE
C02AC04	TOLONIDINE
C02AC05	MOXONIDINE
C02AC06	RILMENIDINE
C02B	ADRENOLYTIQUES GANGLIOPLEGIQUES
C02BA	DERIVES DU SULFONIUM
C02BA01	TRIMETAPHAN
C02BB	AMINES SECONDAIRES ET TERTIAIRES
C02BB01	MECAMYLAMINE
C02BC	DERIVES D'AMMONIUMS BIQUATERNAIRES
C02C	ADRENOLYTIQUES A ACTION PERIPHERIQUE
C02CA	ALPHA-BLOQUANTS
C02CA01	PRAZOSINE
C02CA02	INDORAMINE
C02CA03	TRIMAZOSINE
C02CA04	DOXAZOSINE
C02CA06	URAPIDIL
C02CC	DERIVES DE LA GUANIDINE
C02CC01	BETANIDINE
C02CC02	GUANETHIDINE
C02CC03	GUANOXAN
C02CC04	DEBRISOQUINE
C02CC05	GUANOCLOR
C02CC06	GUANAZODINE
C02CC07	GUANOXABENZ
C02D	MEDICAMENTS AGISSANT SUR LE MUSCLE LISSE ARTERIOLAIRE
C02DA	DERIVES THIAZIDIQUES
C02DA01	DIAZOXIDE
C02DB	DERIVES DE L'HYDRAZINOPHTALAZINE
C02DB01	DIHYDRALAZINE
C02DB02	HYDRALAZINE
C02DB03	ENDRALAZINE
C02DB04	CADRALAZINE
C02DC	DERIVES DE LA PYRIMIDINE
C02DC01	MINOXIDIL
C02DD	DERIVES DU NITROFERRICYANURE
C02DD01	NITROPRUSSIATE
C02DG	DERIVES DE LA GUANIDINE
C02DG01	PINACIDIL
C02K	AUTRES ANTIHYPERTENSEURS
C02KA	ALCALOÏDES EXCEPTES CEUX DU RAUWOLFIA
C02KA01	VERATRUM
C02KB	INHIBITEURS DE LA TYROSINE HYDROXYLASE
C02KB01	METIROSINE
