Chapitre du thésaurus	Code CIM10	Libellé du thésaurus
Rhumatologie	M71.34	Kyste synovial , main
Rhumatologie	M71.35	Kyste synovial , hanche
Rhumatologie	M71.36	Kyste synovial , genou sauf poplité
Rhumatologie	M71.37	Kyste synovial , cheville,pied
Rhumatologie	M71.38	Kyste synovial , autre
Rhumatologie	M71.39	Kyste synovial , siège non précisé
Rhumatologie	M71.90	Bursite SAI , sièges multiples
Rhumatologie	M71.91	Bursite SAI , région scapulaire
Rhumatologie	M71.92	Bursite SAI , coude
Rhumatologie	M71.93	Bursite SAI , poignet
Rhumatologie	M71.94	Bursite SAI , main
Rhumatologie	M71.95	Bursite SAI , hanche
Rhumatologie	M71.96	Bursite SAI , genou
Rhumatologie	M71.97	Bursite SAI , cheville,pied
Rhumatologie	M71.98	Bursite SAI , autre
Rhumatologie	M71.99	Bursite SAI , siège non précisé
Rhumatologie	M75.0	Capsulite rétractile de l’épaule
Rhumatologie	M75.1	Syndrôme de la coiffe des rotateurs
Rhumatologie	M75.2	Tendinite bicipitale
Rhumatologie	M75.3	Tendinite calcifiante de l'épaule 
Rhumatologie	M76.0	Tendinite fessière
Rhumatologie	M76.5	Tendinite rotulienne
Rhumatologie	M76.6	Tendinite achiléenne
Rhumatologie	M76.7	Tendinite péronnière 
Rhumatologie	M77.1	Tendinite épicondylienne
Rhumatologie	M77.9	Tendinite SAI
Rhumatologie	M79.10	Douleur musculaire , sièges multiples
Rhumatologie	M79.11	Douleur musculaire , épaule
Rhumatologie	M79.12	Douleur musculaire , bras
Rhumatologie	M79.13	Douleur musculaire , avant bras
Rhumatologie	M79.14	Douleur musculaire , main
Rhumatologie	M79.15	Douleur musculaire , cuisse
Rhumatologie	M79.16	Douleur musculaire , jambe
Rhumatologie	M79.17	Douleur musculaire , pied
Rhumatologie	M79.18	Douleur musculaire , autre
Rhumatologie	M79.19	Douleur musculaire , siège non précisé
Rhumatologie	M79.5	Corps étranger résiduel d'un tissu mou
Rhumatologie	M79.60	Douleur de membre , sièges multiples
Rhumatologie	M79.61	Douleur de membre , épaule
Rhumatologie	M79.62	Douleur de membre , bras
Rhumatologie	M79.63	Douleur de membre , avant bras
Rhumatologie	M79.64	Douleur de membre , main
Rhumatologie	M79.65	Douleur de membre , cuisse
Rhumatologie	M79.66	Douleur de membre , jambe
Rhumatologie	M79.67	Douleur de membre , pied
Rhumatologie	M79.68	Douleur de membre , autre
Rhumatologie	M79.69	Douleur de membre , siège non précisé
Rhumatologie	M86.90	Ostéomyélite SAI , sièges multiples
Rhumatologie	M86.91	Ostéomyélite SAI , région scapulaire
Rhumatologie	M86.92	Ostéomyélite SAI , coude
Rhumatologie	M86.93	Ostéomyélite SAI , poignet
Rhumatologie	M86.94	Ostéomyélite SAI , main
Rhumatologie	M86.95	Ostéomyélite SAI , hanche
Rhumatologie	M86.96	Ostéomyélite SAI , genou sauf poplité
Rhumatologie	M86.97	Ostéomyélite SAI , cheville,pied
Rhumatologie	M86.98	Ostéomyélite SAI , autre
Rhumatologie	M86.99	Ostéomyélite SAI , siège non précisé
Rhumatologie	M87.90	Ostéonécrose SAI , sièges multiples
Rhumatologie	M87.91	Ostéonécrose SAI , région scapulaire
Rhumatologie	M87.92	Ostéonécrose SAI , coude
Rhumatologie	M87.93	Ostéonécrose SAI , poignet
Rhumatologie	M87.94	Ostéonécrose SAI , main
Rhumatologie	M87.95	Ostéonécrose SAI , hanche
Rhumatologie	M87.96	Ostéonécrose SAI , genou sauf poplité
Rhumatologie	M87.97	Ostéonécrose SAI , cheville,pied
Rhumatologie	M87.98	Ostéonécrose SAI , autre
Rhumatologie	M87.99	Ostéonécrose SAI , siège non précisé
Rhumatologie	M89.00	Algoneurodystrophie SAI , sièges multiples
Rhumatologie	M89.01	Algoneurodystrophie SAI , région scapulaire
Rhumatologie	M89.02	Algoneurodystrophie SAI , coude
Rhumatologie	M89.03	Algoneurodystrophie SAI , poignet
Rhumatologie	M89.04	Algoneurodystrophie SAI , main
Rhumatologie	M89.05	Algoneurodystrophie SAI , hanche
Rhumatologie	M89.06	Algoneurodystrophie SAI , genou
Rhumatologie	M89.07	Algoneurodystrophie SAI , cheville,pied
Rhumatologie	M89.08	Algoneurodystrophie SAI , autre
Rhumatologie	M89.09	Algoneurodystrophie SAI , siège non précisé
Rhumatologie	M92.9	Ostéochondrite juvénile
Rhumatologie	M93.0	Epiphysiolyse hanche non traumatique
Rhumatologie	M94.0	Syndrôme chondro-costal de Tietze
Urogénital et obstétrique	N05.9	Syndrôme néphritique
Urogénital et obstétrique	N10	Pyélonéphrite aiguë
Urogénital et obstétrique	N15.1	Abcés rénal
Urogénital et obstétrique	N17.9	Insuffisance rénale aiguë
Urogénital et obstétrique	N18.9	Insuffisance rénale chronique
Urogénital et obstétrique	N20.9	Calcul urinaire SAI
Urogénital et obstétrique	N23	Colique néphrétique SAI
Urogénital et obstétrique	N30.0	Cystite aiguë
Urogénital et obstétrique	N34.2	Urétrite SAI
Urogénital et obstétrique	N36.8	Urétrorragie
Urogénital et obstétrique	N39.0	Infection urinaire SAI
Urogénital et obstétrique	N41.0	Prostatite aiguë
Urogénital et obstétrique	N43.3	Hydrocèle SAI
Urogénital et obstétrique	N44	Torsion du testicule    
Urogénital et obstétrique	N45.9	Orchi épidydimite SAI
Urogénital et obstétrique	N47	Phymosis
Urogénital et obstétrique	N48.1	Balanite
Urogénital et obstétrique	N50.8	Douleur testiculaire
Urogénital et obstétrique	N64.4	Douleur mammaire
Urogénital et obstétrique	N64.5	Ecoulement mammaire 
Urogénital et obstétrique	N64.9	Mastopathie   SAI
Urogénital et obstétrique	N70.0	Salpingite
Urogénital et obstétrique	N75.8	Bartholinite SAI
Urogénital et obstétrique	N76.0	Vulvo-vaginite SAI
Urogénital et obstétrique	N81.9	Prolapsus génital
Urogénital et obstétrique	N83.2	Kyste ovarien SAI
Urogénital et obstétrique	N83.5	Torsion d’annexe
Urogénital et obstétrique	N89.8	Ecoulement vaginal
Urogénital et obstétrique	N92.1	Méno-métrorragie
Urogénital et obstétrique	N93.9	Saignement utérin ou vaginal non lié au cycle
Urogénital et obstétrique	N94.6	Douleur menstruelle
Urogénital et obstétrique	O00.9	Grossesse extra-utérine SAI
Urogénital et obstétrique	O03.9	Fausse couche SAI
Urogénital et obstétrique	O15.9	Eclampsie
Urogénital et obstétrique	O21.9	Vomissement de la grossesse SAI
Urogénital et obstétrique	O46.9	Hémorragie obstétricale du pré-partum SAI
Urogénital et obstétrique	O47.9	Faux travail SAI
Urogénital et obstétrique	O80.9	Accouchement réalisé, constaté aux urgences
Hépato-gastro-entérologie	Q40.0	Sténose congénitale du pylore
Cardio-vasculaire	R00.0	Tachycardie
Cardio-vasculaire	R00.1	Bradycardie
Cardio-vasculaire	R00.2	Palpitations
Cardio-vasculaire	R03.0	Constation d'une élevation de la tension artérielle sans mention d'HTA
Cardio-vasculaire	R03.1	Constation d'une baisse de la tension artérielle
ORL et stomatologie	R04.0	Epistaxis
ORL et stomatologie	R04.1	Saignement pharyngé
Pneumologie	R04.2	Hémoptysie
Pneumologie	R05	Toux
Cardio-vasculaire	R06.0	Dyspnée
ORL et stomatologie	R07.0	Douleur pharyngée
Pneumologie	R07.1	Douleur thoracique respiratoire
Cardio-vasculaire	R07.2	Douleur thoracique précordiale
Rhumatologie	R07.3	Douleur thoracique pariétale
Cardio-vasculaire	R07.4	Douleur thoracique SAI
Hépato-gastro-entérologie	R10.0	Ventre de bois
Hépato-gastro-entérologie	R10.1	Douleur épigastrique
Urogénital et obstétrique	R10.2	Douleur pelvienne
Hépato-gastro-entérologie	R10.3	Douleur de la fosse iliaque
Hépato-gastro-entérologie	R10.4	Douleur abdominale SAI
Hépato-gastro-entérologie	R11	Nausées, vomissements
Hépato-gastro-entérologie	R12	Pyrosis
Hépato-gastro-entérologie	R13	Dysphagie
Hépato-gastro-entérologie	R17	Ictère
Hépato-gastro-entérologie	R18	Ascite
Neurologie	R20.8	Trouble de la sensibilité cutanée
Dermatologie	R21	Eruption SAI
Dermatologie	R22.9	Tuméfaction SAI
Dermatologie	R23.3	Pétéchies
Neurologie	R25.1	Tremblements
Neurologie	R25.8	Mouvements anormaux
Neurologie	R26.2	Trouble de la marche SAI
Diagnostics non spécifiques	R26.80	Chute sans étiologie, chutes à répétition
Neurologie	R27.0	Ataxie
Endocrinologie-Métabolique	R29.0	Crise de tétanie
Neurologie	R29.1	Méningisme
Urogénital et obstétrique	R30.0	Dysurie
Urogénital et obstétrique	R30.9	Douleur mictionnelle
Urogénital et obstétrique	R31	Hématurie
Urogénital et obstétrique	R33	Rétention urinaire
Urogénital et obstétrique	R36	Ecoulement urétral
Neurologie	R40.0	Somnolence
Neurologie	R40.2	Coma SAI
Neurologie	R41.0	Confusion, Désorientation
Neurologie	R42	Vertige SAI
Psychiatrie et troubles psychologiques	R44.3	Hallucinations SAI
Psychiatrie et troubles psychologiques	R45.1	Agitation
Psychiatrie et troubles psychologiques	R46.2	Trouble du comportement
Neurologie	R47.0	Aphasie
Infectiologie générale et cutanée	R50.0	Frissons
Infectiologie générale et cutanée	R50.9	Fièvre SAI
Neurologie	R51	Céphalée
Diagnostics non spécifiques	R52.1	Douleur chronique irréductible
Diagnostics non spécifiques	R52.9	Douleurs multiples ou SAI
Diagnostics non spécifiques	R53.+0	Altération état général
Diagnostics non spécifiques	R53.+1	Malaise sans perte de connaissance
Diagnostics non spécifiques	R53.+2	Asthénie
Diagnostics non spécifiques	R55	Syncope, lipothymie
Neurologie	R56.0	Convulsion fébrile
Neurologie	R56.8	Convulsion SAI
Cardio-vasculaire	R57.0	Choc cardiogénique
Cardio-vasculaire	R57.1	Choc hypovolémique
Infectiologie générale et cutanée	R57.8	Choc septique
Cardio-vasculaire	R57.9	Choc SAI
Infectiologie générale et cutanée	R59.0	Adénopathie(s) localisée(s)
Infectiologie générale et cutanée	R59.1	Adénopathie(s) diffuse(s)
Infectiologie générale et cutanée	R59.9	Adénopathie SAI
Cardio-vasculaire	R60.0	Œdème localisé
Diagnostics non spécifiques	R63.0	Anorexie
Endocrinologie-Métabolique	R73.9	Découverte d'une hyperglycémie
Endocrinologie-Métabolique	R82.4	Acétonurie
Diagnostics non spécifiques	R95	Syndrôme de la mort subite du nourrisson
Diagnostics non spécifiques	R99	Décès de cause inconnue SAI
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S00.0	CONTUSION DU CUIR CHEVELU
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S00.1	CONTUSION DE LA PAUPIERE ET DE LA REGION PERI-OCULAIRE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S00.3	CONTUSION DU NEZ
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S00.4	CONTUSION DE L'OREILLE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S00.5	CONTUSION DE LA BOUCHE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S00.8	CONTUSION D'AUTRES PARTIES DE LA TETE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S01.0	PLAIE  DU CUIR CHEVELU
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S01.1	PLAIE  DE LA PAUPIERE ET DE LA REGION PERI-OCULAIRE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S01.2	PLAIE  DU NEZ
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S01.3	PLAIE  DE L'OREILLE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S01.4	PLAIE  DE LA JOUE ET DES TEMPES
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S01.5	PLAIE  DE BOUCHE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S01.8	PLAIE  D'AUTRES PARTIES DE LA TETE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.0	FRAC. DE LA VOUTE DU CRANE (SAI)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.00	FRAC. DE LA VOUTE DU CRANE (FERMEE)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.01	FRAC. DE LA VOUTE DU CRANE (OUVERTE)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.1	FRAC. DE LA BASE DU CRANE (SAI)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.10	FRAC. DE LA BASE DU CRANE (FERMEE)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.11	FRAC. DE LA BASE DU CRANE (OUVERTE)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.2	FRAC. DES OS DU NEZ (SAI)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.20	FRAC. DES OS DU NEZ (FERMEE)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.21	FRAC. DES OS DU NEZ (OUVERTE)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.3	FRAC. DU PLANCHER DE L'ORBITE (SAI)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.30	FRAC. DU PLANCHER DE L'ORBITE (FERMEE)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.31	FRAC. DU PLANCHER DE L'ORBITE (OUVERTE)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.4	FRAC. DES OS MALAIRES ET MAXILLAIRES SUP. (SAI)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.40	FRAC. DES OS MALAIRES ET MAXILLAIRES SUP. (FERMEE)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.41	FRAC. DES OS MALAIRES ET MAXILLAIRES SUP. (OUVERTE)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.5	FRAC. DENTAIRE (SAI)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.50	FRAC. DENTAIRE (FERMEE)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.51	FRAC. DENTAIRE (OUVERTE)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.6	FRAC. DU MAXILLAIRE INF. (SAI)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.60	FRAC. DU MAXILLAIRE INF. (FERMEE)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.61	FRAC. DU MAXILLAIRE INF. (OUVERTE)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.7	FRAC. MULT. DU CRANE ET DES OS DE LA FACE (SAI)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.70	FRAC. MULT. DU CRANE ET DES OS DE LA FACE (FERMEE)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S02.71	FRAC. MULT. DU CRANE ET DES OS DE LA FACE (OUVERTE)
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S03.0	LUXATION  DE LA MACHOIRE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S03.1	LUXATION  DE LA CLOISON DU NEZ
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S03.2	LUXATION  DENTAIRE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S03.4	ENTORSE DE LA MACHOIRE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S04.9	LES. TRAUMA. D'UN NERF CRANIEN, SAI
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S05.1	CONTUSION DU GLOBE OCULAIRE ET DES TISSUS DE L'ORBITE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S05.5	CORPS ETRANGER OCULAIRE AVEC PLAIE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S05.9	PLAIE DE L'ŒIL
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S06.0	COMMOTION CEREBRALE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S06.1	OEDEME CEREBRAL TRAUMATIQUE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S06.4	HEMATOME EXTRA-DURAL TRAUMA.
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S06.5	HEMATOME SOUS-DURAL TRAUMA.
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S06.6	HEMORRAGIE  SOUS ARACHNOIDIENNE. TRAUMA.
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S06.8	HEMORRAGIE INTRACEREBRALE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S06.9	TRAUMATISME INTRACRANIEN SAI
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S08.0	ARRACHEMENT DU CUIR CHEVELU
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S08.1	ARRACHEMENT DE L'OREILLE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S09.0	LES. TRAUMA. DE VAISSEAU SANGUIN DE LA TETE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S09.1	LES. TRAUMA. DE MUSCLES ET DE TENDONS DE LA TETE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	S09.2	RUPTURE TRAUMA. DU TYMPAN
TRAUMATOLOGIE DU TRONC	S10.9	CONTUSION DU COU
TRAUMATOLOGIE DU TRONC	S11.9	PLAIE  DU COU
TRAUMATOLOGIE DU TRONC	S12.9	FRAC. DU RACHIS CERVICAL, PARTIE SAI (SAI)
TRAUMATOLOGIE DU TRONC	S12.90	FRAC. DU RACHIS CERVICAL, PARTIE SAI (FERMEE)
TRAUMATOLOGIE DU TRONC	S12.91	FRAC. DU RACHIS CERVICAL, PARTIE SAI (OUVERTE)
TRAUMATOLOGIE DU TRONC	S13.1	LUXATION  D'UNE VERTEBRE CERVICALE
TRAUMATOLOGIE DU TRONC	S13.4	ENTORSE DU RACHIS CERVICAL
TRAUMATOLOGIE DU TRONC	S14.2	LES. TRAUMA. D'UNE RACINE NERVEUSE CERVICALE
TRAUMATOLOGIE DU TRONC	S15.9	LES. TRAUMA. DE VAISSEAU SANGUIN DU COU
TRAUMATOLOGIE DU TRONC	S16	LES. TRAUMA. DE MUSCLES ET DE TENDONS DU COU
TRAUMATOLOGIE DU TRONC	S20.0	CONTUSION DU SEIN
TRAUMATOLOGIE DU TRONC	S20.2	CONTUSION DU THORAX
TRAUMATOLOGIE DU TRONC	S21.0	PLAIE  DU SEIN
TRAUMATOLOGIE DU TRONC	S21.9	PLAIE  DU THORAX
TRAUMATOLOGIE DU TRONC	S22.0	FRAC. D'UNE VERTEB. DORSALE (SAI)
TRAUMATOLOGIE DU TRONC	S22.00	FRAC. D'UNE VERTEB. DORSALE (FERMEE)
TRAUMATOLOGIE DU TRONC	S22.01	FRAC. D'UNE VERTEB. DORSALE (OUVERTE)
TRAUMATOLOGIE DU TRONC	S22.2	FRAC. DU STERNUM (SAI)
TRAUMATOLOGIE DU TRONC	S22.20	FRAC. DU STERNUM (FERMEE)
TRAUMATOLOGIE DU TRONC	S22.21	FRAC. DU STERNUM (OUVERTE)
TRAUMATOLOGIE DU TRONC	S22.3	FRAC. DE COTE (SAI)
TRAUMATOLOGIE DU TRONC	S22.30	FRAC. DE COTE (FERMEE)
TRAUMATOLOGIE DU TRONC	S22.31	FRAC. DE COTE (OUVERTE)
TRAUMATOLOGIE DU TRONC	S22.5	VOLET COSTAL
TRAUMATOLOGIE DU TRONC	S23.3	ENTORSE DU RACHIS DORSAL
TRAUMATOLOGIE DU TRONC	S24.2	LES. TRAUMA. D'UNE RACINE NERVEUSE DORSALE
TRAUMATOLOGIE DU TRONC	S25.0	LES. TRAUMA. DE L'AORTE THORACIQUE
TRAUMATOLOGIE DU TRONC	S25.9	LES. TRAUMA. D'UN VAISSEAU SANGUIN DU THORAX
TRAUMATOLOGIE DU TRONC	S26.9	LES. TRAUMA. DU COEUR, SAI
TRAUMATOLOGIE DU TRONC	S27.0	PNEUMOTHORAX TRAUMA.
TRAUMATOLOGIE DU TRONC	S27.2	HEMOPNEUMOTHORAX TRAUMA.
TRAUMATOLOGIE DU TRONC	S27.9	LES. TRAUMA. D'ORGANE THORACIQUE SAI
TRAUMATOLOGIE DU TRONC	S29.0	LES. TRAUMA. DE MUSCLES ET DE TENDONS DU THORAX
TRAUMATOLOGIE DU TRONC	S30.0	CONTUSION DES LOMBES
TRAUMATOLOGIE DU TRONC	S30.1	CONTUSION DE LA PAROI ABDOMINALE, PELVIENNE
TRAUMATOLOGIE DU TRONC	S30.2	CONTUSION DES ORGANES GENITAUX EXTERNES
TRAUMATOLOGIE DU TRONC	S31.0	PLAIE  DES LOMBES
TRAUMATOLOGIE DU TRONC	S31.1	PLAIE  ABDOMINALE, PELVIENNE
TRAUMATOLOGIE DU TRONC	S31.5	PLAIE  DES ORGANES GENITAUX EXTERNES
TRAUMATOLOGIE DU TRONC	S32.0	FRAC. D'UNE VERTEBRE LOMBAIRE (SAI)
TRAUMATOLOGIE DU TRONC	S32.00	FRAC. D'UNE VERTEBRE LOMBAIRE (FERMEE)
TRAUMATOLOGIE DU TRONC	S32.01	FRAC. D'UNE VERTEBRE LOMBAIRE (OUVERTE)
TRAUMATOLOGIE DU TRONC	S32.1	FRAC. DU SACRUM (SAI)
TRAUMATOLOGIE DU TRONC	S32.10	FRAC. DU SACRUM (FERMEE)
TRAUMATOLOGIE DU TRONC	S32.11	FRAC. DU SACRUM (OUVERTE)
TRAUMATOLOGIE DU TRONC	S32.2	FRAC. DU COCCYX (SAI)
TRAUMATOLOGIE DU TRONC	S32.20	FRAC. DU COCCYX (FERMEE)
TRAUMATOLOGIE DU TRONC	S32.21	FRAC. DU COCCYX (OUVERTE)
TRAUMATOLOGIE DU TRONC	S32.3	FRAC. DE L'ILION (SAI)
TRAUMATOLOGIE DU TRONC	S32.30	FRAC. DE L'ILION (FERMEE)
TRAUMATOLOGIE DU TRONC	S32.31	FRAC. DE L'ILION (OUVERTE)
TRAUMATOLOGIE DU TRONC	S32.4	FRAC. DU COTYLE (SAI)
TRAUMATOLOGIE DU TRONC	S32.40	FRAC. DU COTYLE (FERMEE)
TRAUMATOLOGIE DU TRONC	S32.41	FRAC. DU COTYLE (OUVERTE)
TRAUMATOLOGIE DU TRONC	S32.5	FRAC. DU PUBIS (SAI)
TRAUMATOLOGIE DU TRONC	S32.50	FRAC. DU PUBIS (FERMEE)
TRAUMATOLOGIE DU TRONC	S32.51	FRAC. DU PUBIS (OUVERTE)
TRAUMATOLOGIE DU TRONC	S32.8	FRAC. D'AUTRES PARTIES DU BASSIN (SAI)
TRAUMATOLOGIE DU TRONC	S32.80	FRAC. D'AUTRES PARTIES DU BASSIN (FERMEE)
TRAUMATOLOGIE DU TRONC	S32.81	FRAC. D'AUTRES PARTIES DU BASSIN (OUVERTE)
TRAUMATOLOGIE DU TRONC	S33.2	LUXATION  SACRO-ILIAQUE ET SACRO-COCCYGIENNE
TRAUMATOLOGIE DU TRONC	S33.4	RUPTURE TRAUMA. DE LA SYMPHYSE PUBIENNE
TRAUMATOLOGIE DU TRONC	S33.5	ENTORSE DU RACHIS LOMBAIRE
TRAUMATOLOGIE DU TRONC	S34.2	LES. TRAUMA. DE LA RACINE NERVEUSE LOMBO-SACREE
TRAUMATOLOGIE DU TRONC	S34.3	LES. TRAUMA. DE LA QUEUE DE CHEVAL
TRAUMATOLOGIE DU TRONC	S35.9	LES. TRAUMA. DE VAISSEAU SANGUIN DE L'ABDOMEN OU DES LOMBES
TRAUMATOLOGIE DU TRONC	S36.0	LES. TRAUMA. DE LA RATE
TRAUMATOLOGIE DU TRONC	S36.1	LES. TRAUMA. DU FOIE ET DES VOIES BILIAIRES
TRAUMATOLOGIE DU TRONC	S36.3	LES. TRAUMA. DE L'ESTOMAC
TRAUMATOLOGIE DU TRONC	S36.4	LES. TRAUMA. DE L'INTESTIN GRELE
TRAUMATOLOGIE DU TRONC	S36.5	LES. TRAUMA. DU COLON
TRAUMATOLOGIE DU TRONC	S36.6	LES. TRAUMA. DU RECTUM, DE L'ANUS
TRAUMATOLOGIE DU TRONC	S36.8	LES. TRAUMA. D'AUTRES ORGANES ABDOMINAUX
TRAUMATOLOGIE DU TRONC	S36.9	LES. TRAUMA. D'UN ORGANE ABDOMINAL  SAI
TRAUMATOLOGIE DU TRONC	S37.0	LES. TRAUMA. DU REIN
TRAUMATOLOGIE DU TRONC	S37.9	LES. TRAUMA. D'UN ORGANE PELVIEN SAI
TRAUMATOLOGIE DU TRONC	S39.0	LES. TRAUMA. DE TENDONS DE L'ABDOMEN, DES LOMBES
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S40.0	CONTUSION DE L'EPAULE, BRAS
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S41.0	PLAIE  DE L'EPAULE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S41.1	PLAIE  DU BRAS
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S42.0	FRAC. DE LA CLAVICULE (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S42.00	FRAC. DE LA CLAVICULE (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S42.01	FRAC. DE LA CLAVICULE (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S42.1	FRAC. DE L'OMOPLATE (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S42.10	FRAC. DE L'OMOPLATE (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S42.11	FRAC. DE L'OMOPLATE (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S42.2	FRAC. DE L'EXTREMITE SUP. DE L'HUMERUS (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S42.20	FRAC. DE L'EXTREMITE SUP. DE L'HUMERUS (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S42.21	FRAC. DE L'EXTREMITE SUP. DE L'HUMERUS (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S42.3	FRAC. DE LA DIAPHYSE DE L'HUMERUS (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S42.30	FRAC. DE LA DIAPHYSE DE L'HUMERUS (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S42.31	FRAC. DE LA DIAPHYSE DE L'HUMERUS (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S42.4	FRAC. DE L'EXTREMITE INF. DE L'HUMERUS (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S42.40	FRAC. DE L'EXTREMITE INF. DE L'HUMERUS (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S42.41	FRAC. DE L'EXTREMITE INF. DE L'HUMERUS (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S43.0	LUXATION  DE L'EPAULE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S43.1	LUXATION  ACROMIO-CLAVICULAIRE
TRAUMATOLOGIE DU TRONC	S43.2	LUXATION  STERNO-CLAVICULAIRE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S43.4	ENTORSE DE L'EPAULE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S43.5	ENTORSE ACROMIO-CLAVICULAIRE
TRAUMATOLOGIE DU TRONC	S43.6	ENTORSE STERNO-CLAVICULAIRE
